label,h,d,h_prime,k,a,w,l,swn,mmax,security,size,keygen_C,sign_C,verify_C,verify_worst_C,c_per_byte,c_per_byte_worst
w=256,44,2,22,7,20,256,18,0,0,128.0,3648,19360907262.0,38751174645.0,4982.0,9062.0,1.3656798245614035,2.4841008771929824
w=256,48,2,24,11,12,256,18,0,0,128.0,3648,77443629054.0,154887438318.0,4979.0,9059.0,1.3648574561403508,2.48327850877193
w=256,48,2,24,13,10,256,18,0,0,128.0,3648,77443629054.0,154887311338.0,4977.0,9057.0,1.3643092105263157,2.4827302631578947
w=256,40,2,20,8,18,256,18,0,0,128.0,3664,4840226814.0,9688842227.0,4983.0,9063.0,1.3599890829694323,2.4735262008733625
w=256,42,2,21,10,14,256,18,0,0,128.0,3664,9680453630.0,19361562608.0,4982.0,9062.0,1.35971615720524,2.4732532751091703
w=256,48,2,24,8,17,256,18,0,0,128.0,3664,77443629054.0,154891452403.0,4983.0,9063.0,1.3599890829694323,2.4735262008733625
w=256,48,2,24,9,15,256,18,0,0,128.0,3664,77443629054.0,154888437745.0,4982.0,9062.0,1.35971615720524,2.4732532751091703
w=256,48,2,24,12,11,256,18,0,0,128.0,3664,77443629054.0,154887356396.0,4980.0,9060.0,1.3591703056768558,2.472707423580786
w=256,48,2,24,16,8,256,18,0,0,128.0,3664,77443629054.0,154887274469.0,4977.0,9057.0,1.3583515283842795,2.4718886462882095
w=256,40,2,20,9,16,256,18,0,0,128.0,3680,4840226814.0,9682812913.0,4984.0,9064.0,1.3543478260869566,2.4630434782608694
w=256,46,2,23,7,20,256,18,0,0,128.0,3680,38721814526.0,77472989173.0,4986.0,9066.0,1.3548913043478261,2.463586956521739
w=256,50,2,25,11,12,256,18,0,0,128.0,3680,154887258110.0,309774696430.0,4983.0,9063.0,1.3540760869565218,2.4627717391304347
w=256,50,2,25,13,10,256,18,0,0,128.0,3680,154887258110.0,309774569450.0,4981.0,9061.0,1.3535326086956523,2.462228260869565
w=256,42,2,21,8,18,256,18,0,0,128.0,3696,9680453630.0,19369295859.0,4987.0,9067.0,1.3492965367965368,2.4531926406926408
w=256,44,2,22,10,14,256,18,0,0,128.0,3696,19360907262.0,38722469872.0,4986.0,9066.0,1.349025974025974,2.4529220779220777
w=256,50,2,25,8,17,256,18,0,0,128.0,3696,154887258110.0,309778710515.0,4987.0,9067.0,1.3492965367965368,2.4531926406926408
w=256,50,2,25,9,15,256,18,0,0,128.0,3696,154887258110.0,309775695857.0,4986.0,9066.0,1.349025974025974,2.4529220779220777
w=256,50,2,25,12,11,256,18,0,0,128.0,3696,154887258110.0,309774614508.0,4984.0,9064.0,1.3484848484848484,2.4523809523809526
w=256,50,2,25,16,8,256,18,0,0,128.0,3696,154887258110.0,309774532581.0,4981.0,9061.0,1.3476731601731602,2.451569264069264
w=256,42,2,21,9,16,256,18,0,0,128.0,3712,9680453630.0,19363266545.0,4988.0,9068.0,1.34375,2.4428879310344827
