cumulative_total,required_global_X,bottleneck_metric,h,d,k,a,w,size_bytes,size_X,keygen_X,sign_X,verify_X,cpb_X
426,1.4376,c_per_byte,40,5,15,13,32,6256,0.7963,0.7925,0.6883,1.1448,1.4376
427,1.438,c_per_byte,48,6,21,11,32,7504,0.9552,0.7925,0.6847,1.3735,1.438
428,1.4381,c_per_byte,40,5,21,9,32,6256,0.7963,0.7925,0.5367,1.1452,1.4381
429,1.4412,c_per_byte,40,5,19,10,32,6240,0.7943,0.7925,0.5485,1.1448,1.4412
430,1.4427,c_per_byte,42,6,16,15,32,7472,0.9511,0.3962,1.0223,1.3722,1.4427
431,1.4432,c_per_byte,40,5,13,15,32,6224,0.7923,0.7925,1.0982,1.1434,1.4432
432,1.4438,c_per_byte,40,5,16,12,32,6224,0.7923,0.7925,0.6108,1.1439,1.4438
433,1.4453,c_per_byte,42,6,17,14,32,7456,0.9491,0.3962,0.6899,1.3717,1.4453
434,1.4481,c_per_byte,40,5,23,8,32,6208,0.7902,0.7925,0.5301,1.1443,1.4481
435,1.451,c_per_byte,48,6,19,12,32,7424,0.945,0.7925,0.7318,1.3712,1.451
436,1.4515,c_per_byte,42,6,23,10,32,7424,0.945,0.3962,0.3451,1.3717,1.4515
437,1.4532,c_per_byte,42,6,18,13,32,7408,0.943,0.3962,0.5127,1.3703,1.4532
438,1.4537,c_per_byte,42,6,21,11,32,7408,0.943,0.3962,0.3714,1.3708,1.4537
439,1.4564,c_per_byte,40,5,17,11,32,6160,0.7841,0.7925,0.5692,1.142,1.4564
440,1.4565,sign_C,45,5,9,16,16,5984,0.7617,1.0,1.4565,0.7253,0.9522
441,1.4588,sign_C,48,6,12,16,16,7408,0.943,0.5,1.4588,0.877,0.9301
442,1.4643,c_per_byte,48,6,22,10,32,7344,0.9348,0.7925,0.657,1.3689,1.4643
443,1.467,c_per_byte,42,6,19,12,32,7328,0.9328,0.3962,0.4185,1.3684,1.467
444,1.4693,c_per_byte,48,6,16,14,32,7312,0.9308,0.7925,0.9811,1.3675,1.4693
445,1.4693,c_per_byte,48,6,15,15,32,7312,0.9308,0.7925,1.2913,1.3675,1.4693
446,1.4698,c_per_byte,48,6,20,11,32,7312,0.9308,0.7925,0.682,1.368,1.4698
447,1.4699,c_per_byte,40,5,20,9,32,6096,0.776,0.7925,0.536,1.1406,1.4699
448,1.4703,c_per_byte,48,6,24,9,32,7312,0.9308,0.7925,0.6432,1.3684,1.4703
